race,female_age_1970,female_pop_1960,female_pop_exp_1970,female_pop_1970,female_net_forward,female_net_average,female_sr,male_age_1970,male_pop_1960,male_pop_exp_1970,male_pop_1970,male_net_forward,male_net_average,male_sr
white,0--4,104556,100894,100224,-670,-681,0.964973,0--4,110365,105446,105503,57,59,0.95543
white,5--9,119478,114169,115269,1100,1126,0.955569,5--9,126116,119403,120884,1481,1523,0.946771
white,10--14,120463,120107,121922,1815,1818,0.997048,10--14,126346,126593,128656,2063,2061,1.001957
white,15--19,114627,115414,115128,-286,-284,1.006864,15--19,119571,120189,118485,-1704,-1698,1.005171
white,20--24,113551,113313,107480,-5833,-5838,0.997903,20--24,117525,116225,102296,-13929,-14006,0.98894
white,25--29,93665,92595,87706,-4889,-4916,0.988579,25--29,94148,91624,85778,-5846,-5925,0.97319
white,30--34,76348,76065,77285,1220,1223,0.996295,30--34,72012,70908,74046,3138,3163,0.984673
white,35--39,74278,73821,75115,1294,1298,0.993849,35--39,70867,69460,71636,2176,2198,0.980141
white,40--44,79572,78689,78924,235,237,0.988906,40--44,75168,73052,75179,2127,2158,0.971848
white,45--49,80719,78120,78284,164,167,0.9678,45--49,76872,72894,73602,708,728,0.948254
white,50--54,74641,71980,72067,87,89,0.96435,50--54,72068,67213,67679,466,483,0.932638
white,55--59,70709,66423,67390,967,998,0.939383,55--59,69002,61080,60807,-273,-289,0.885191
white,60--64,62811,58766,60682,1916,1982,0.935599,60--64,60654,51282,52073,791,864,0.845482
white,65--69,52574,46863,49460,2597,2756,0.891364,65--69,49127,36869,38786,1917,2236,0.750479
white,70--74,42397,35475,37028,1553,1705,0.836743,70--74,37344,25196,26632,1436,1782,0.674688
white,75--79,38125,26372,27019,647,791,0.691715,75--79,32063,17204,17418,214,307,0.536572
white,80+,65068,26355,27359,1004,1742,0.405031,80+,51294,15169,16029,860,1884,0.295727
white,TOTAL,1383582,1295421,1298342,2921,4213,,TOTAL,1360542,1239807,1235489,-4318,-2472,
non-white,0--4,56079,49099,47472,-1627,-1741,0.875529,0--4,58236,50091,47832,-2259,-2441,0.86013
non-white,5--9,70807,62963,55285,-7678,-8155,0.889215,5--9,73531,64298,55867,-8431,-9035,0.874431
non-white,10--14,72009,73100,60434,-12666,-12570,1.015155,10--14,71585,73079,60810,-12269,-12142,1.020867
non-white,15--19,66983,67252,55166,-12086,-12061,1.004018,15--19,66677,66609,52972,-13637,-13643,0.998987
non-white,20--24,59292,57515,34895,-22620,-22968,0.970034,20--24,59923,54755,29873,-24882,-26055,0.913763
non-white,25--29,46107,45818,23819,-21999,-22067,0.993731,25--29,45561,40740,19644,-21096,-22343,0.894178
non-white,30--34,31631,32511,22324,-10187,-10048,1.027809,30--34,27643,26488,17393,-9095,-9292,0.958226
non-white,35--39,27611,27850,22729,-5121,-5098,1.008671,35--39,22123,21141,16942,-4199,-4295,0.955603
non-white,40--44,28639,27771,24650,-3121,-3169,0.969699,40--44,21370,20075,17766,-2309,-2382,0.93941
non-white,45--49,28250,25832,23131,-2701,-2826,0.914416,45--49,22326,19908,18336,-1572,-1666,0.89169
non-white,50--54,26994,24556,22167,-2389,-2506,0.909683,50--54,21688,19175,17707,-1468,-1563,0.884146
non-white,55--59,27436,23890,22035,-1855,-1991,0.87077,55--59,23205,19232,18284,-948,-1045,0.828794
non-white,60--64,23475,21178,20086,-1092,-1150,0.902158,60--64,20469,16766,16485,-281,-311,0.819076
non-white,65--69,20496,19011,19383,372,387,0.927547,65--69,18164,14120,14525,405,463,0.777399
non-white,70--74,15651,12644,12507,-137,-152,0.807884,70--74,13226,9251,9583,332,404,0.699477
non-white,75--79,16452,9187,8273,-914,-1274,0.558392,75--79,13381,6392,6033,-359,-554,0.477722
non-white,80+,24457,9803,9526,-277,-483,0.40081,80+,20307,6232,6400,168,358,0.306896
non-white,TOTAL,642369,589980,483882,-106098,-107872,,TOTAL,599415,528352,426452,-101900,-105542,
